2020-04-26 12:33:52,882 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:33:53,315 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.792 seconds (JVM running for 1.591)
2020-04-26 12:35:51,014 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@29d37757[hello=0,valid=true,world=1]

2020-04-26 12:35:55,538 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20616 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:35:55,541 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:35:56,000 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.797 seconds (JVM running for 1.4)
2020-04-26 12:36:09,277 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@c68a5f8[hello=0,valid=true,world=1]

2020-04-26 12:36:45,358 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 20660 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
2020-04-26 12:36:45,362 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - No active profile set, falling back to default profiles: default
2020-04-26 12:36:45,815 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Started AuditorApplication in 0.813 seconds (JVM running for 1.524)
2020-04-26 12:36:56,126 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.aspects.AuditAspect - motka.abhishek.auditor.TestObject.print
Argument: motka.abhishek.auditor.Modal@a8a8b75[hello=0,valid=true,world=1]

2020-04-26 13:51:12,547 IMLMDVABHISHEKPA INFO  main motka.abhishek.auditor.AuditorApplication - Starting AuditorApplication on IMLMDVABHISHEKPA with PID 21341 (/Users/abhishek.pa/work/auditor/target/classes started by abhishek.pa in /Users/abhishek.pa/work/auditor)
